Nien Nunb,403 555 0163
Baron Notluwiski Papanoida,587 555 0155
Bib Fortuna,780 555 0179
Salacious B Crumb,902 555 0167
Jar Jar Binks,867 555 0149
Biggs Darklighter,226 555 0119
Wilhelm Screamers,249 555 0122
Maximilian Veers,289 555 0128
Cornelius Evazan,343 555 0180
Anakin Skywalker,365 555 0110
General Grievous,416 555 0147
Darth Maul,437 555 0160
Grand Moff Tarkin,519 555 0131
Mon Mothma,613 555 0196
Count Dooku,647 555 0140
Lando Calrissian,705 555 0132
Admiral Motti,807 555 0102
Wedge Antilles,905 555 0100
Padme Amidala,418 555 0105
Mace Windu,438 555 0155
Emperor Palpatine,450 555 0143
Qui-Gon Jinn,514 555 0138
Jabba the Hutt,579 555 0178
Admiral Ackbar,581 555 0120
Chewbacca,819 555 0168
Yoda,873 555 0153
Boba Fett,306 555 0131
Luke Skywalker,639 555 0176
R2-D2,867 555 0121
C-3PO,403 555 0113
Han Solo,250 555 0161
Princess Leia,604 555 2121
Obi-Wan Kenobi,365 555 3113
Darth Vader,416 555 4161
